Topic/Sector,Entity/Subject,Key Player/Organization,Timeline,Expected Impact/Value,Source,Latitude,Longitude,Broad_Category
Energy / Geopolitics,Start of regular cargo service through the Northern Sea Route (NSR),Chinese-operated container ship operating company,"2026 (South Korea says it will start testing the route)","Increased interest in the shorter, seasonal NSR if the Red Sea route via the Suez Canal remains risky due to Houthi attacks.",45,35.9078,127.7669,Environment & Energy
Mining / Infrastructure,Port of Nome expansion (deep-water docking),Nome (western Alaska),"2026 (work is due to start)","Provides deep-water docking close to the increasingly frequented Bering Strait, improving prospects for the Graphite One project (graphite mine nearby).",45,64.5011,-165.4064,Environment & Energy
Economics / UK,Interest rates fall,Not in source,2026,"Likely to fall by nearly a percentage point, making housebuilders feel more buoyant, and contributing to the economy picking up a little.",46,0.0,0.0,Economy & Trade
Economics / China,Chinese consumption (retail sales),"Chinese government, consumers",2026,"Will probably grow more slowly, possibly suffering from 'payback' (as consumers refrain from replacing goods bought in 2025 with subsidies), potentially falling below pre-subsidy level.",47,35.8617,104.1954,Economy & Trade
Economics / China,China's economic growth,"Macquarie (bank, Larry Hu)",2026,"Will slow but not stumble. Trade war will determine how China meets its growth targets, not whether it meets them. Property market may bottom out.",47,35.8617,104.1954,Economy & Trade
Geopolitics / Middle East,Palestinian Authority elections,Mahmoud Abbas (Palestinian president),By October 2026 (promised),"Potential for Marwan Barghouti to defeat Hamas at the ballot box, prompting a handover of power in Gaza/West Bank and reconstruction might finally begin.",48,0.0,0.0,Geopolitics & Conflict
Geopolitics / Middle East,Non-aggression pact between Syria and Israel,"Syria, Israel, Donald Trump","2026 (plausible)","Syria would sign to curtail Israel's encroachments on its territory. Harder for Lebanon to go that far.",49,34.8021,38.9968,Geopolitics & Conflict
Finance / Crypto,Political deal in place for a digital euro,European Central Bank,Early 2026,"Sets the stage for the currency to be launched by around 2029 (public, euro-denominated alternative to privately issued stablecoins).",50,0.0,0.0,Economy & Trade
Robotics / Industry,Neo Humanoid Robot sales volume,1x (firm based in Norway),"End of 2026 (hope to have this many)","Hopes to have 10,000 of its Neo robots (costing $20,000 each) in homes around the world, despite current limitations, in order to gather training data about the real world.",51,0.0,0.0,Technology & Science
Defence / Arms Control,New START treaty expiration,"America, Russia",February 2026,"Last treaty limiting long-range nuclear weapons expires. A nuclear free-for-all beckons, as there will not be enough time to renegotiate a new one. Best hope is an informal extension, possibly without verification measures.",52,37.0902,-95.7129,Geopolitics & Conflict
Economics / Argentina,Adjustment to the exchange-rate regime (peso flotation),Javier Milei (President),"2026 (likely, if not before)","Adjustment likely to boost growth and investment, make it easier for the government to accumulate foreign reserves, and give markets confidence to lend to Argentina again.",53,-38.4161,-63.6167,Economy & Trade
Economics / Argentina,Argentina taps global capital markets,Argentina,2026 (strong chance),Crucial to the country's long-term debt sustainability.,53,-38.4161,-63.6167,Economy & Trade
Economics / Argentina,"Passing of structural reforms (labor laws liberalization, tax system simplification, budget locking in fiscal surplus)","Javier Milei (President), Congress","2026 (likely to get Congress approval after concessions)","If reforms are made, 2026 could be a very good year for Milei. Macroeconomic normality would be achieved.",53,-38.4161,-63.6167,Economy & Trade
Rare Earths / Supply Chain,Western efforts to reduce dependence on China (investment/supply chains),"America's Defence Department, mp Materials, Lynas (Australian producer), Hastings Technology, Wyloo, ABB, Noveon Magnetics, Apple","2026 (will intensify)","Lynas will invest in a processing plant in Malaysia. Apple committed $500m partnership with mp Materials to make magnets from recycled rare earths. Despite efforts, America still relies on China for four-fifths of its rare-earth needs. Daido Steel/Honda have developed heavy rare-earth-free magnets for hybrid-vehicle motors.",54,37.0902,-95.7129,Technology & Science
Sport / Ethics,Enhanced Games (sporting event where performance-enhancing drugs are permitted),"Aron D'Souza, Peter Thiel, Christian Angermayer (backers)","May 21st to 24th, 2026 (inaugural event in Las Vegas)","Features swimming, track, and weightlifting. Prize money of $500,000 per event, $1m bonus for world record. Will double as marketing for a planned direct-to-consumer telehealth platform (launching in 2026). Lawsuit filed against World Aquatics for $800m for alleged antitrust/boycott.",55,36.1699,-115.1398,Culture & Entertainment
Climate Change / Policy,Global Carbon Budget (remaining tonnes of CO2 for 50% chance of staying under 1.5°C threshold),Intergovernmental Panel on Climate Change (IPCC),"End of 2026 / End of 2027","At current emissions rate (42bn tonnes a year), 1.5°C threshold will have been exceeded by the end of 2027 (33% chance it will be exceeded by end of 2026). World will fail to meet Paris agreement target, conclusion of a post-1.5°C world seems inescapable.",56,0.0,0.0,Environment & Energy
Climate Change / Migration,Arrival of world's first officially recognised climate refugees (from Tuvalu),"Australia, Tuvalu (via Falepili Union treaty)",2026,"Up to 280 Tuvaluans can permanently migrate to Australia each year. Treaty redefines Tuvaluan sovereignty (retaining UN vote/vast economic zone even if territory is lost to rising seas). Unintended consequence: accelerating brain drain for Tuvalu.",-25.2744,133.7751,Environment & Energy
Geopolitics / Conflict,"China's 'anaconda' strategy (squeezing Taiwan, short of invasion)","China (Xi Jinping), People's Liberation Army (PLA)",2026,"Expected to intensify and expand, involving drones over the main island, aircraft-carrier strike groups venturing around the island, and surreptitious disruption of undersea communication cables (mimicking Russian sabotage). Focus on slow, steady, invidious process of creeping dominance.",58,35.8617,104.1954,Geopolitics & Conflict
AI / Workforce,Adoption of AI 'agents' in business apps,"Gartner (forecasting firm), businesses",By the end of 2026,"40% of apps businesses use to improve workflows will incorporate AI 'agents' (up from 5% in mid-2025), replacing or working alongside humans.",59,0.0,0.0,Technology & Science
